Growth Fund Investment;Website
GetYourGuide ICT;https://www.getyourguide.com
Swissto12 Industry;https://swissto12.com/
Beekeeper ICT;https://www.beekeeper.io
Onco DNA Health;https://oncodna.com/
Varjo ICT;https://varjo.com/
Memo Therapeutics Health;https://memo-therapeutics.com/
NIL Technology Industry;https://www.nilt.com/
Sulzer & Schmid Lab. Industry;https://www.sulzerschmid.ch/
Fotokite ICT;https://fotokite.com/
MedTrace Pharma Health;https://medtrace.dk/
Medimaps Group Health;https://www.medimapsgroup.com/
Ecorobotix Industry;https://www.medimapsgroup.com/
ANYbotics Industry;https://www.anybotics.com/
Distran Industry;https://distran.swiss/
Nagi Bioscience Health;https://nagibio.ch/
